0,0.0,8.0,47.0,65.0, 
1,-21.0,22.0,47.0,68.0, 
2,22.0,-1.0,73.0,78.0, 
3,-21.0,13.0,64.0,62.0, 
4,-174.0,5.0,66.0,76.0, 
5,175.0,-6.0,57.0,78.0, 
6,128.0,2.0,66.0,81.0, 
7,-169.0,-14.0,83.0,75.0, 
8,-143.0,11.0,62.0,86.0, 
9,106.0,4.0,70.0,73.0, 
10,-34.0,2.0,71.0,76.0, 
11,68.0,-22.0,80.0,64.0, 
12,-160.0,-3.0,68.0,73.0, 
13,-58.0,3.0,85.0,53.0, 
14,-313.0,-13.0,69.0,68.0, 
15,155.0,17.0,79.0,84.0, 
16,205.0,5.0,62.0,79.0, 
17,-345.0,0.0,63.0,65.0, 
18,179.0,6.0,55.0,79.0, 
19,-33.0,-2.0,72.0,80.0, 
20,-91.0,13.0,76.0,57.0, 
21,-64.0,0.0,73.0,76.0, 
22,-53.0,-12.0,85.0,67.0, 
23,265.0,-15.0,58.0,64.0, 
24,10.0,3.0,77.0,74.0, 
25,-135.0,1.0,80.0,70.0, 
26,-81.0,10.0,51.0,75.0, 
27,183.0,1.0,65.0,79.0, 
28,6.0,-2.0,54.0,81.0, 
29,87.0,27.0,57.0,86.0, 
30,60.0,10.0,61.0,85.0, 
31,67.0,13.0,81.0,74.0, 
32,-114.0,13.0,63.0,66.0, 
33,33.0,-13.0,82.0,75.0, 
34,93.0,-19.0,61.0,59.0, 
35,49.0,5.0,81.0,57.0, 
36,142.0,-12.0,55.0,65.0, 
37,-96.0,3.0,55.0,65.0, 
38,-129.0,4.0,67.0,74.0, 
39,-100.0,4.0,51.0,77.0, 
40,-240.0,30.0,59.0,72.0, 
41,-62.0,5.0,52.0,84.0, 
42,7.0,-3.0,59.0,78.0, 
43,-67.0,18.0,58.0,67.0, 
44,-106.0,14.0,66.0,81.0, 
45,86.0,-2.0,60.0,73.0, 
46,4.0,-3.0,51.0,73.0, 
47,42.0,-6.0,74.0,84.0, 
48,-14.0,7.0,59.0,77.0, 
49,21.0,-32.0,74.0,52.0, 
50,34.0,15.0,55.0,73.0, 
51,-23.0,15.0,71.0,76.0, 
52,54.0,-18.0,45.0,79.0, 
53,-134.0,-1.0,67.0,68.0, 
54,-103.0,10.0,81.0,65.0, 
55,-52.0,2.0,66.0,58.0, 
56,-85.0,-11.0,45.0,58.0, 
57,-13.0,5.0,53.0,62.0, 
58,25.0,8.0,56.0,62.0, 
59,14.0,14.0,77.0,67.0, 
60,136.0,2.0,56.0,74.0, 
61,99.0,0.0,56.0,65.0, 
62,-51.0,7.0,72.0,84.0, 
63,-81.0,0.0,63.0,67.0, 
64,17.0,15.0,83.0,65.0, 
65,157.0,19.0,76.0,80.0, 
66,129.0,4.0,66.0,67.0, 
67,109.0,14.0,86.0,81.0, 
68,110.0,7.0,66.0,83.0, 
69,37.0,14.0,81.0,67.0, 
70,-275.0,-5.0,72.0,67.0, 
71,-21.0,10.0,75.0,70.0, 
72,-75.0,16.0,72.0,83.0, 
73,-10.0,5.0,66.0,64.0, 
74,65.0,11.0,86.0,53.0, 
75,9.0,4.0,71.0,94.0, 
76,35.0,18.0,58.0,77.0, 
77,-12.0,-5.0,78.0,74.0, 
78,4.0,12.0,70.0,72.0, 
79,37.0,24.0,80.0,80.0, 
80,-27.0,4.0,80.0,85.0, 
81,-229.0,20.0,60.0,78.0, 
82,-26.0,-10.0,41.0,45.0, 
83,-19.0,11.0,78.0,80.0, 
84,113.0,10.0,63.0,73.0, 
85,-145.0,-15.0,71.0,88.0, 
86,-1.0,11.0,94.0,62.0, 
87,125.0,23.0,68.0,66.0, 
88,19.0,8.0,64.0,74.0, 
89,-223.0,20.0,56.0,73.0, 
90,25.0,6.0,59.0,74.0, 
91,48.0,26.0,66.0,59.0, 
92,-137.0,13.0,60.0,56.0, 
93,87.0,21.0,81.0,78.0, 
94,31.0,10.0,61.0,71.0, 
95,-28.0,-16.0,79.0,57.0, 
96,0.0,24.0,58.0,57.0, 
97,96.0,-20.0,96.0,76.0, 
98,-165.0,-3.0,81.0,71.0, 
